Mês,Carga SIN
Jan-99,29662.3875
Feb-99,39944.7775
Mar-99,40578.3975
Apr-99,40877.0125
May-99,34036.77666667
Jun-99,39779.9875
Jul-99,40234.7225
Aug-99,32606.19916667
Sep-99,42074.535
Oct-99,42485.6075
Nov-99,37769.93166667
Dec-99,42396.18583333
Jan-00,30736.52916666
Feb-00,41924.56666667
Mar-00,
Apr-00,39103.375
May-00,34514.1875
Jun-00,41909.01666666
Jul-00,38582.61666667
Aug-00,41909.29583333
Sep-00,43132.50458334
Oct-00,34258.92083333
Nov-00,43859.10416668
Dec-00,43845.2375
Jan-01,32067.155
Feb-01,45321.19458333
Mar-01,45624.06874999
Apr-01,36868.74541666
May-01,
Jun-01,
Jul-01,27715.29416667
Aug-01,34665.79958333
Sep-01,32995.21125
Oct-01,34979.76500001
Nov-01,36672.68666667
Dec-01,34011.52916667
Jan-02,27477.61916666
Feb-02,39833.59916666
Mar-02,41269.81916667
Apr-02,41203.32625
May-02,35491.2175
Jun-02,36284.24083333
Jul-02,39182.81058334
Aug-02,40634.39708334
Sep-02,33166.10541667
Oct-02,42692.95797158
Nov-02,42298.35916666
Dec-02,37341.96166666
Jan-03,33044.41333334
Feb-03,40097.17875
Mar-03,41509.76458334
Apr-03,44438.26424999
May-03,38339.42237501
Jun-03,34522.07125
Jul-03,41535.12083333
Aug-03,42213.64791667
Sep-03,
Oct-03,43809.92583333
Nov-03,40881.64951389
Dec-03,44638.26333333
Jan-04,33489.42291666
Feb-04,37675.63125
Mar-04,44750.99333333
Apr-04,46452.90166666
May-04,37985.20874999
Jun-04,44339.69791667
Jul-04,
Aug-04,36497.75041667
Sep-04,46142.8975
Oct-04,46261.38291667
Nov-04,44163.17583333
Dec-04,47039.06041667
Jan-05,35690.1425
Feb-05,47000.80083333
Mar-05,49869.73083333
Apr-05,49553.57874999
May-05,36587.94875
Jun-05,46553.43791666
Jul-05,46378.62083333
Aug-05,
Sep-05,48525.40833334
Oct-05,43557.04833334
Nov-05,46581.503125
Dec-05,50086.21416666
Jan-06,36345.58166667
Feb-06,50218.45333332
Mar-06,48703.45708333
Apr-06,45120.83333333
May-06,39554.44333334
Jun-06,48536.06499999
Jul-06,42944.87458333
Aug-06,48330.65874999
Sep-06,48932.3425
Oct-06,39657.65591667
Nov-06,51510.17166667
Dec-06,50185.3675
Jan-07,37287.885
Feb-07,53073.26541667
Mar-07,53415.07791666
Apr-07,
May-07,42363.38291667
Jun-07,49471.53695834
